#{"t_start": 1764790684.333374, "env_id": "None"}
r,l,t
249.0,79,52.177018
-47.0,1,52.180693
-47.0,1,52.183562
20.0,19,52.24006
-47.0,1,52.242815
252.0,75,52.520593
-46.0,1,52.5249
100.0,53,52.749801
-46.0,1,52.754775
47.0,25,52.858003
-42.0,5,52.876693
-47.0,1,52.88043
147.0,73,53.199416
-25.0,9,53.237689
-47.0,1,53.242718
-46.0,2,53.258046
-39.0,4,53.274354
-47.0,1,53.278994
25.0,21,53.366103
-46.0,2,53.373595
-47.0,1,53.377504
-40.0,5,53.396009
-47.0,1,53.399961
-46.0,1,53.403728
446.0,175,54.139344
269.0,97,56.287824
32.0,26,56.36101
-4.0,11,56.388405
3.0,18,56.450847
172.0,52,56.602908
20.0,16,56.655798
-36.0,4,56.667053
-22.0,15,56.706704
-31.0,5,56.71979
-47.0,1,56.722937
2.0,17,56.775765
-47.0,1,56.778938
-46.0,2,56.784906
-42.0,2,56.790394
107.0,47,56.922291
-46.0,2,56.928198
273.0,99,57.209938
115.0,53,57.370759
425.0,145,57.779582
-47.0,1,57.785024
-47.0,1,57.787885
4.0,14,57.824527
169.0,57,57.996558
18.0,25,58.064641
-45.0,2,58.070042
-14.0,8,58.096878
128.0,63,58.269708
236.0,94,58.555382
-35.0,5,58.568506
15.0,16,58.618326
5.0,19,58.668711
143.0,46,58.794172
-47.0,1,58.797077
-38.0,4,58.815599
-13.0,8,58.839001
30.0,21,58.893454
-45.0,3,58.90143
-3.0,14,58.944099
-41.0,3,58.951727
-46.0,1,58.954591
-46.0,1,58.957716
-26.0,8,58.979887
-47.0,1,58.982722
-47.0,1,58.98565
-46.0,2,58.991005
-35.0,4,59.001618
-27.0,9,59.03236
-47.0,1,59.035307
-47.0,1,59.038381
-41.0,6,59.055001
9.0,17,59.102956
-41.0,3,59.111384
1463.0,400,60.245506
-6.0,9,60.277597
221.0,75,60.485661
79.0,31,60.573898
225.0,88,60.840738
637.0,158,61.291988
38.0,39,61.398612
-45.0,2,61.40402
-47.0,1,61.406743
-46.0,1,61.409512
74.0,27,61.476664
9.0,15,61.524163
-10.0,11,61.554245
313.0,95,61.832978
383.0,118,63.586159
-47.0,1,63.589145
439.0,137,63.991182
-30.0,7,64.01131
20.0,19,64.07236
-45.0,2,64.078271
-45.0,2,64.084079
-47.0,1,64.086968
-36.0,5,64.100879
-29.0,13,64.13498
27.0,18,64.187751
-47.0,1,64.19059
-19.0,8,64.213982
-31.0,9,64.240127
-44.0,2,64.246972
-46.0,1,64.250079
36.0,35,64.354824
-47.0,1,64.357879
-28.0,6,64.381174
183.0,68,64.567026
-47.0,1,64.574488
-46.0,2,64.581139
-29.0,8,64.603773
-45.0,2,64.609168
335.0,110,64.954213
336.0,102,65.248092
